silo_ID;destination_cod;destination_mun;destination_state;destination_biome;destination_lat;destination_long;destination_cnpj;destination_company;destination_dt;company_group;asset_risk
587;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.845;-53.612;88400000000000.0;FACCINI DEFENSIVOS FERTILIZANTES E CEREAIS LTDA;b1.5;other;Negligible
588;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.689;-53.6;1262440068.0;WALTER BARCHET ROSSATO;b1.5;other;Negligible
589;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.864;-53.596;7276290000.0;DECIO LOPES TEIXEIRA;b1.5;other;Negligible
590;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.623;-53.578;88400000000000.0;FERTIL CRUZ COMERCIO E REPRESENTACOES LTDA;b1.5;other;Negligible
591;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.70321974;-53.56239319;14265532004.0;VALMOR ANTONIO DE BORTOLI;b1.5;other;Negligible
592;BR-4306106;CRUZ ALTA;RS;PAMPA;-28.639;-53.542;88400000000000.0;FACCINI DEFENSIVOS FERTILIZANTES E CEREAIS LTDA;b1.5;other;Negligible
593;BR-4122172;RIO BRANCO DO IVAI;PR;ATLANTIC FOREST;-24.301;-51.318;79000000000000.0;COCARI  COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.2, b1.4, b2.2;other;Negligible
594;BR-4118709;PAULO FRONTIN;PR;ATLANTIC FOREST;-26.067;-50.801;78500000000000.0;COOP AGROINDUSTRIAL BOM JESUS;b1.4;other;Negligible
595;BR-4118709;PAULO FRONTIN;PR;ATLANTIC FOREST;-26.086;-50.764;76500000000000.0;DALFERTIL COMERCIO E REPRESENTACOES DE INS AGRIC LTDA  EPP;b1.4;other;Negligible
596;BR-4118600;PAULA FREITAS;PR;ATLANTIC FOREST;-26.18;-50.922;83300000000000.0;COOPERATIVA AGROINDUSTRIAL ALFA;b1.4;other;Negligible
597;BR-4108304;FOZ DO IGUACU;PR;ATLANTIC FOREST;-25.497;-54.521;77800000000000.0;CEREAIS IGUACU LTDA;b1.4;other;Negligible
598;BR-4305371;CHARRUA;RS;ATLANTIC FOREST;-27.959;-52.011;91500000000000.0;COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.4;other;Negligible
599;BR-4313607;PAIM FILHO;RS;ATLANTIC FOREST;-27.72207466;-51.78033712;91600000000000.0;COPPALCOOP PAIMFILHENSE DE PROD AGRIC LTDA;b1.4;other;Negligible
600;BR-4313607;PAIM FILHO;RS;ATLANTIC FOREST;-27.707;-51.763;97400000000000.0;CEREALISTA PAINFILHENSE LTDA;b1.4;other;Negligible
601;BR-4318606;SAO JOSE DO OURO;RS;ATLANTIC FOREST;-27.785;-51.581;83200000000000.0;COOPERATIVA REGIONAL AGROPECUARIA DE CAMPOS NOVOS  COPERCAMPOS;b1.4;other;Negligible
602;BR-4206603;GUARUJA DO SUL;SC;ATLANTIC FOREST;-26.419;-53.525;6080000000000.0;CEREALISTA FRANCISCO LTDA;b1.4;other;Negligible
603;BR-4216701;SAO JOSE DO CEDRO;SC;ATLANTIC FOREST;-26.454;-53.511;83300000000000.0;COOPERATIVA AGROINDUSTRIAL ALFA;b1.4;other;Negligible
604;BR-4121000;QUERENCIA DO NORTE;PR;ATLANTIC FOREST;-23.096;-53.488;79100000000000.0;COCAMAR COOPERATIVA AGROINDUSTRIAL;b1.4;other;Negligible
605;BR-4203808;CANOINHAS;SC;ATLANTIC FOREST;-26.19;-50.671;9150000000000.0;CRESTANI CEREALISTA LTDA;b1.4;other;Negligible
606;BR-4213609;PORTO UNIAO;SC;ATLANTIC FOREST;-26.263;-51.046;6010000000000.0;AGRICOLA FARINELLA LTDA;b1.4, b1.5;other;Negligible
607;BR-4213609;PORTO UNIAO;SC;ATLANTIC FOREST;-26.273;-50.98;1590000000000.0;TONI CEREALISTA LTDA;b1.4, b1.5;other;Negligible
608;BR-4213609;PORTO UNIAO;SC;ATLANTIC FOREST;-26.291;-50.962;60500000000000.0;CARGILL AGRICOLA SA;b1.1, b1.2, b1.5;CARGIL;Negligible
609;BR-4207908;IRINEOPOLIS;SC;ATLANTIC FOREST;-26.289;-50.788;83600000000000.0;COOP DE PROD E CONS CONCORDIA;b1.4;other;Negligible
610;BR-5005681;MUNDO NOVO;MS;ATLANTIC FOREST;-23.936;-54.304;81600000000000.0;COOPERATIVA AGROINDUSTRIAL COPAGRIL;b1.4;other;Negligible
611;BR-4304705;CARAZINHO;RS;PAMPA;-28.319;-52.764;6920000000000.0;CERENNA AGROINDUSTRIAL LTDA;b1.4;other;Negligible
612;BR-4304705;CARAZINHO;RS;PAMPA;-28.289;-52.756;92300000000000.0;AGROPECUARIA TOMBINI LTDA;b1.4;other;Negligible
613;BR-4320503;SERTAO;RS;ATLANTIC FOREST;-28.007;-52.459;10500000000000.0;LUIZ FERNANDO NOAL BENINCA;b1.4;other;Negligible
614;BR-4312138;MATO CASTELHANO;RS;PAMPA;-28.272;-52.203;91500000000000.0;COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.4;other;Negligible
615;BR-4312138;MATO CASTELHANO;RS;PAMPA;-28.292;-52.18;91500000000000.0;COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.4;other;Negligible
616;BR-4323358;VILA LANGARO;RS;ATLANTIC FOREST;-28.12827187;-52.14213501;2990000000000.0;AGRODANIELI IND E COMERCIO LTDA;b1.4;other;Negligible
